#,Seq.,Album,Song,Spotify total,Spotify daily,AOD total
6,199,2093,If We Being Rëal,"241,178,857","523,540","447,341,196"
1,225,Features,IDGAF (feat. Yeat),"479,949,837","314,026","938,501,590"
3,157,Lyfë,Out thë way,"393,206,687","302,361","729,324,088"
8,196,2093,Breathe,"188,107,310","202,363","348,903,507"
2,12,Up 2 Më,Monëy so big,"418,824,049","185,001","776,839,453"
5,152,Lyfë,Flawlëss (feat. Lil Uzi Vert),"268,980,167","155,456","498,907,372"
12,162,Already Rich,Already Rich,"156,539,554","141,678","290,351,286"
9,132,2 Alivë,On tha linë,"185,479,086","136,892","344,028,648"
4,159,Lyfë,Talk,"269,894,322","130,036","500,602,957"
14,177,AftërLyfe,Nun id change,"130,141,783","113,604","241,388,410"
108,48,LYFESTYLE,GEEK TIMË,"11,831,557","109,009","21,945,302"
7,37,4L,Sorry Bout That,"229,289,689","102,023","425,289,037"
132,58,LYFESTYLE,ORCHESTRATË,"8,823,854","88,544","16,366,581"
39,214,2093,Tell më,"39,768,036","82,049","73,762,190"
10,7,Up 2 Më,Gët Busy,"173,485,190","78,927","321,782,238"
60,198,2093,ILUV,"25,952,006","67,064","48,136,066"
16,163,My wrist,My wrist (with Young Thug),"96,967,145","62,304","179,855,727"
178,191,5BRAZY,5BRAZY (FEAT. QUAVO),"3,613,306","61,041","6,701,999"
150,43,LYFESTYLE,BË QUIET (FEAT. KODAK BLACK),"7,223,092","58,302","13,397,470"
47,215,2093,U Should Know,"33,451,460","56,547","62,046,135"
157,51,LYFESTYLE,GONE 4 A MIN,"5,543,648","56,378","10,282,419"
11,134,2 Alivë,Poppin,"166,781,665","55,204","309,348,466"
156,47,LYFESTYLE,FOREVER AGAIN,"5,690,553","53,420","10,554,900"
148,61,LYFESTYLE,STFU,"7,475,522","52,665","13,865,680"
77,189,GEEKED UP,GEEKED UP (FEAT. YEAT),"17,093,783","51,280","33,442,909"
13,19,Up 2 Më,Turban,"144,805,854","48,999","268,587,490"
102,190,GO AGAIN,GO AGAIN (feat. Superheaven),"12,464,932","47,759","23,120,092"
48,207,2093,Psycho CEO,"32,198,833","41,484","59,722,749"
63,187,King tonka,Heavy stunts (with Don Toliver),"24,082,857","41,289","44,669,148"
19,16,Up 2 Më,Swërved It,"87,834,293","36,454","162,916,012"
27,158,Lyfë,Systëm,"59,207,643","35,880","109,818,987"
17,92,Trëndi,Mad bout that,"96,008,143","35,352","178,076,959"
162,52,LYFESTYLE,HEARD OF MË,"4,749,880","35,290","8,810,129"
159,63,LYFESTYLE,THEY TELL MË,"5,062,464","33,843","9,389,913"
28,164,bigger thën everything,bigger thën everything,"55,826,925","33,001","103,548,394"
179,46,LYFESTYLE,FLYTROOP,"3,610,662","32,754","6,697,095"
20,286,Features,"LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","83,791,712","32,248","148,189,664"
164,49,LYFESTYLE,GO2WORK (FEAT. SUMMRS),"4,143,836","31,826","7,686,032"
15,135,2 Alivë,Rackz got më (feat. Gunna),"101,744,039","31,619","188,715,962"
169,56,LYFESTYLE,NEW HIGH (FEAT. DON TOLIVER),"3,930,891","31,472","7,291,059"
177,54,LYFESTYLE,LYFESTYLE (FEAT. LIL DURK),"3,619,967","28,818","6,714,354"
71,202,2093,Morë,"19,295,313","27,186","35,789,158"
23,21,Up 2 Më,U could tëll,"78,590,641","27,138","145,770,785"
53,173,AftërLyfe,Mysëlf,"28,452,926","26,690","52,774,800"
54,212,2093,Stand On It (with Future),"27,258,582","26,437","50,559,517"
18,4,Up 2 Më,Dëserve it,"92,381,498","26,212","171,350,218"
190,45,LYFESTYLE,FATË (BONUS),"2,999,501","25,670","5,563,507"
170,60,LYFESTYLE,SPEEDBALL,"3,918,439","25,501","7,267,963"
21,33,4L,Off Tha Lot,"82,770,726","25,132","153,524,053"
181,62,LYFESTYLE,THE COSTËS,"3,572,492","25,113","6,626,297"
30,175,AftërLyfe,No morë talk,"52,338,869","25,057","97,078,709"
22,31,4L,Money Twërk,"79,174,078","24,992","146,852,950"
24,182,AftërLyfe,Split,"64,839,244","24,886","120,264,543"
25,142,2 Alivë,Big tonka (feat. Lil Uzi Vert),"62,041,034","24,629","115,074,392"
183,64,LYFESTYLE,U DONT KNOW LYFE,"3,531,038","24,034","6,549,408"
186,57,LYFESTYLE,ON 1,"3,272,404","23,748","6,069,690"
33,171,AftërLyfe,How it go,"46,017,434","22,830","85,353,642"
191,59,LYFESTYLE,SO WHAT,"2,939,932","22,725","5,453,018"
199,53,LYFESTYLE,LYFE PARTY,"2,563,536","21,894","4,754,874"
197,50,LYFESTYLE,GOD TALKIN SHHH,"2,637,225","21,735","4,891,553"
26,126,2 Alivë,Jus bëtter,"60,921,974","21,644","112,998,747"
45,18,Up 2 Më,Trëndy way (feat. SeptembersRich),"34,383,478","21,320","63,774,853"
41,169,AftërLyfe,Bëttr 0ff,"36,804,683","20,962","68,265,730"
196,44,LYFESTYLE,ELIMINATË,"2,685,554","20,180","4,981,195"
38,20,Up 2 Më,Twizzy Rich,"40,536,766","19,510","75,188,039"
198,55,LYFESTYLE,LYING 5 FUN,"2,567,079","18,737","4,761,446"
29,123,2 Alivë,Doublë,"53,679,075","18,291","99,564,538"
31,22,Up 2 Më,Ya Ya,"51,987,521","18,129","96,427,025"
79,205,2093,Nothing Changë,"16,907,386","17,780","31,360,005"
42,156,Lyfë,Krank,"36,448,242","17,426","67,604,600"
