"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"1","237","Features","IDGAF (feat. Yeat)","516,730,148","266,850","1,010,422,399"
"2","19","Up 2 Më","Monëy so big","439,544,330","160,045","815,271,658"
"3","108","Lyfë","Out thë way","421,173,789","183,370","781,197,776"
"4","142","2093","If We Being Rëal","295,258,545","375,955","547,648,797"
"5","103","Lyfë","Flawlëss (feat. Lil Uzi Vert)","286,381,458","127,520","531,183,478"
"6","110","Lyfë","Talk","285,615,995","117,685","529,763,689"
"7","44","4L","Sorry Bout That","241,069,777","87,247","447,138,874"
"8","139","2093","Breathe","213,698,429","179,022","396,370,196"
"9","91","2 Alivë","On tha linë","199,155,267","86,033","369,395,379"
"10","14","Up 2 Më","Gët Busy","182,719,384","64,947","338,909,923"
"11","93","2 Alivë","Poppin","174,073,680","51,976","322,873,776"
"12","181","Orphan","Already Rich","171,189,891","92,240","317,524,892"
"13","26","Up 2 Më","Turban","150,986,386","49,280","280,051,209"
"14","125","AftërLyfe","Nun id change","143,938,339","119,144","266,978,414"
"15","94","2 Alivë","Rackz got më (feat. Gunna)","105,853,228","30,293","196,337,731"
"16","184","Orphan","My wrist","104,606,223","56,545","194,024,773"
"17","205","Trëndi","Mad bout that","100,218,883","34,472","185,887,086"
"18","11","Up 2 Më","Dëserve it","95,524,311","22,951","177,179,542"
"19","23","Up 2 Më","Swërved It","92,296,774","35,865","171,193,071"
"20","259","Features","LOCK IT UP (feat. Yeat, midwxst & Matt Ox)","87,543,184","28,590","154,824,322"
"21","40","4L","Off Tha Lot","85,873,229","23,101","159,278,609"
"22","38","4L","Money Twërk","82,579,188","24,126","153,168,786"
"23","28","Up 2 Më","U could tëll","82,157,053","27,908","152,385,805"
"24","130","AftërLyfe","Split","68,516,017","25,619","127,084,262"
"25","73","2 Alivë","Big tonka (feat. Lil Uzi Vert)","65,346,230","24,382","121,204,906"
"26","81","2 Alivë","Jus bëtter","63,833,320","22,689","118,398,744"
"27","109","Lyfë","Systëm","63,162,571","31,511","117,154,631"
"28","183","Orphan","bigger thën everything","59,697,370","27,021","110,727,338"
"29","76","2 Alivë","Doublë","55,901,653","16,669","103,687,000"
"30","123","AftërLyfe","No morë talk","55,683,662","30,584","103,282,668"
"31","29","Up 2 Më","Ya Ya","54,221,284","15,718","100,570,233"
"32","225","Features","Yam","52,603,158","29,949","97,568,916"
"33","157","2093","Tell më","49,789,273","72,570","92,349,691"
"34","119","AftërLyfe","How it go","48,888,885","21,003","90,679,641"
"35","141","2093","ILUV","46,516,419","124,948","86,279,165"
"36","210","Rich Minion","Rich Minion","46,166,406","6,893","85,629,957"
"37","77","2 Alivë","Dub","45,781,916","13,624","84,916,801"
"38","98","2 Alivë","Still countin","44,843,286","16,799","83,175,820"
"39","21","Up 2 Më","Rokstar","44,033,738","15,344","81,674,261"
"40","27","Up 2 Më","Twizzy Rich","42,870,965","18,511","79,517,537"
"41","117","AftërLyfe","Bëttr 0ff","39,891,637","24,169","73,991,447"
"42","158","2093","U Should Know","39,888,317","45,202","73,985,289"
"43","10","Up 2 Më","Cmon","38,902,293","11,247","72,156,400"
"44","107","Lyfë","Krank","38,769,205","25,197","71,909,547"
"45","150","2093","Psycho CEO","37,197,651","36,910","68,994,612"
"46","13","Up 2 Më","Got rich","36,788,117","12,482","68,235,004"
"47","25","Up 2 Më","Trëndy way (feat. SeptembersRich)","36,505,468","14,747","67,710,743"
"48","17","Up 2 Më","Lying 4 fun","36,282,467","14,262","67,297,118"
"49","203","Trëndi","Fukit","35,347,691","10,857","65,563,286"
"50","79","2 Alivë","Hatër","32,346,459","14,264","59,996,567"
"51","112","Lyfë","Wat it feel lykë","31,774,221","10,665","58,935,174"
"52","121","AftërLyfe","Mysëlf","31,736,396","24,343","58,865,016"
"53","206","Trëndi","Tonka 2","31,170,233","7,113","57,814,891"
"54","155","2093","Stand On It (with Future)","30,420,125","21,712","56,423,582"
"55","128","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","29,912,156","8,239","55,481,395"
"56","212","King tonka","Heavy stunts (with Don Toliver)","28,939,736","34,614","53,677,740"
"57","249","Features","Fuk Tha Clout (feat. Yeat)","28,560,656","14,540","53,969,557"
"58","282","Features","5 2 Üh 60 (feat. Yeat)","28,529,363","9,705","52,916,576"
"59","95","2 Alivë","Rollin","28,433,631","14,240","52,739,011"
"60","89","2 Alivë","Nvr again","28,366,351","12,657","52,614,219"
"61","83","2 Alivë","Kant rëlax","27,756,218","9,248","51,482,538"
"62","111","Lyfë","Up off X","26,050,437","12,358","48,318,637"
"63","92","2 Alivë","Outsidë (feat. Young Thug)","25,583,803","10,559","47,453,119"
"64","56","Alivë","Diëd B4","25,399,394","11,341","47,111,075"
"65","96","2 Alivë","Rëal six","23,446,750","9,461","43,489,289"
"66","16","Up 2 Më","Kant changë","23,036,332","10,757","42,728,041"
"67","214","GEEKED UP","GEEKED UP (FEAT. YEAT)","22,900,095","37,965","44,802,593"
"68","145","2093","Morë","22,473,905","22,033","41,684,846"
"69","99","2 Alivë","Taliban","21,727,734","9,518","40,300,840"
"70","72","2 Alivë","3G (feat. Lil Uzi Vert)","21,596,158","6,638","40,056,791"
"71","101","Lyfë","Can’t stop it","21,528,253","8,357","39,930,840"
"72","84","2 Alivë","Luh gëek","21,359,636","8,880","39,618,087"
"73","127","AftërLyfe","Shhhh","20,623,033","13,490","38,251,828"
"74","78","2 Alivë","Gëek high (feat. Ken Carson)","20,288,862","10,475","37,632,004"
"75","164","LYFESTYLE","GEEK TIMË","20,266,481","44,947","37,590,491"
"76","148","2093","Nothing Changë","19,245,993","16,078","35,697,679"
"77","144","2093","Lyfestylë (with Lil Wayne)","19,219,878","14,662","35,649,241"
"78","281","Features","Pop Out","18,949,659","4,283","34,650,721"
"79","137","2093","As We Speak (feat. Drake)","18,896,940","14,807","35,050,252"
"80","69","Alivë","WAR 1","18,484,679","6,335","34,285,585"
"81","20","Up 2 Më","Morning mudd","17,891,926","8,176","33,186,141"
"82","48","4L","Tëslas & Rovers","17,548,740","7,233","32,549,595"
"83","149","2093","Power Trip","17,519,415","14,005","32,495,203"
"84","215","GO AGAIN","GO AGAIN (feat. Superheaven)","17,145,998","30,684","31,802,585"
"85","132","AftërLyfe","Type monëy","17,036,011","10,448","31,598,580"
"86","129","AftërLyfe","Slamm","16,972,961","6,913","31,481,634"
"87","174","LYFESTYLE","ORCHESTRATË","16,765,892","56,892","31,097,560"
"88","208","No Handoutz","No Handoutz (feat. Yeat)","16,626,515","5,501","32,098,318"
"89","54","Alivë","Bäk 2 BED","16,610,696","7,681","30,809,701"
"90","134","AftërLyfe","Woa...!","16,165,359","6,734","29,983,685"
"91","140","2093","Familia","15,658,808","14,154","29,044,129"
"92","22","Up 2 Më","Stayëd tha same","15,503,741","7,185","28,756,509"
"93","213","King tonka","King tonka","15,350,002","11,124","28,471,352"
"94","82","2 Alivë","Kant dië","15,123,754","9,701","28,051,705"
"95","131","AftërLyfe","Sum 2 do","14,941,673","5,969","27,713,979"
"96","86","2 Alivë","Luv monëy (with Lancey Foux)","14,911,134","5,940","27,657,335"
"97","97","2 Alivë","Smooktobër","14,754,313","7,038","27,366,462"
